"Manufacturer","# of Listings"
"ford","70985"
"chevrolet","55064"
"toyota","34202"
"honda","21269"
"nissan","19067"
"jeep","19014"
"ram","18342"
"gmc","16785"
"bmw","14699"
"dodge","13707"
"mercedes-benz","11817"
"hyundai","10338"
"subaru","9495"
"volkswagen","9345"
"kia","8457"
"lexus","8200"
"audi","7573"
"cadillac","6953"
"chrysler","6031"
"acura","5978"
"buick","5501"
"mazda","5427"
"infiniti","4802"
"lincoln","4220"
"volvo","3374"
"mitsubishi","3292"
"mini","2376"
"pontiac","2288"
"rover","2113"
"jaguar","1946"
"porsche","1384"
"mercury","1184"
"saturn","1090"
"alfa-romeo","897"
"tesla","868"
"fiat","792"
"harley-davidson","153"
"ferrari","95"
"datsun","63"
"aston-martin","24"
"land rover","21"
"morgan","3"
