"Region","# Listings","Total # Regions"
"columbus","3608","404"
"jacksonville","3562","404"
"spokane / coeur d'alene","2988","404"
"eugene","2985","404"
"orlando","2983","404"
"fresno / madera","2983","404"
"omaha / council bluffs","2982","404"
"bend","2982","404"
"kennewick-pasco-richland","2981","404"
"new hampshire","2981","404"
"salem","2980","404"
"nashville","2980","404"
"reno / tahoe","2979","404"
"oklahoma city","2979","404"
"boston","2978","404"
"rochester","2978","404"
"sarasota-bradenton","2977","404"
"stockton","2977","404"
"portland","2976","404"
"boise","2976","404"
"houston","2975","404"
"south jersey","2974","404"
"philadelphia","2973","404"
"modesto","2973","404"
"minneapolis / st paul","2973","404"
"seattle-tacoma","2973","404"
"grand rapids","2972","404"
"pittsburgh","2971","404"
"baltimore","2971","404"
"milwaukee","2971","404"
"las vegas","2971","404"
"tulsa","2970","404"
"cincinnati","2970","404"
"washington, DC","2970","404"
"sacramento","2970","404"
"north jersey","2969","404"
"tucson","2969","404"
"austin","2969","404"
"charlotte","2968","404"
"maine","2966","404"
"atlanta","2965","404"
"long island","2964","404"
"hawaii","2964","404"
"central NJ","2961","404"
"phoenix","2960","404"
"detroit metro","2959","404"
"dallas / fort worth","2957","404"
"kansas city, MO","2957","404"
"ft myers / SW florida","2955","404"
"san diego","2953","404"
"cleveland","2953","404"
"orange county","2952","404"
"denver","2952","404"
"albuquerque","2952","404"
"new york city","2950","404"
"inland empire","2950","404"
"norfolk / hampton roads","2946","404"
"tampa bay area","2945","404"
"st louis, MO","2940","404"
"los angeles","2937","404"
"SF bay area","2936","404"
"chicago","2929","404"
"des moines","2923","404"
"south florida","2920","404"
"raleigh / durham / CH","2918","404"
"colorado springs","2914","404"
"san antonio","2891","404"
"knoxville","2763","404"
"anchorage / mat-su","2742","404"
"hartford","2564","404"
"albany","2537","404"
"bakersfield","2528","404"
"redding","2526","404"
"springfield","2520","404"
"ventura county","2518","404"
"vermont","2513","404"
"fayetteville","2415","404"
"madison","2387","404"
"fort collins / north CO","2385","404"
"richmond","2346","404"
"greenville / upstate","2327","404"
"rhode island","2320","404"
"bellingham","2313","404"
"indianapolis","2303","404"
"akron / canton","2211","404"
"greensboro","2078","404"
"western massachusetts","2039","404"
"buffalo","2006","404"
"palm springs","1978","404"
"el paso","1977","404"
"medford-ashland","1962","404"
"louisville","1938","404"
"worcester / central MA","1914","404"
"little rock","1841","404"
"ocala","1828","404"
"dayton / springfield","1787","404"
"yuba-sutter","1747","404"
"memphis","1724","404"
"yakima","1704","404"
"billings","1701","404"
"wichita","1694","404"
"hudson valley","1692","404"
