Location,Average Salary,Local Currency
Viet Nam,63000,USD
United States,56506,GBP
United States,156646,USD
United States,109000,EUR
United Kingdom,156578,USD
United Kingdom,77900,EUR
United Kingdom,66827,GBP
United Arab Emirates,97500,USD
Ukraine,105600,USD
Türkiye,24000,USD
Türkiye,263333,TRY
Thailand,15000,USD
Switzerland,98333,CHF
Sweden,80000,EUR
Sweden,105000,USD
Spain,47483,EUR
Spain,153700,USD
South Africa,100492,USD
South Africa,40173,GBP
Slovenia,50333,EUR
Singapore,100000,SGD
Saudi Arabia,139999,USD
Russian Federation,15662,EUR
Russian Federation,88500,USD
Romania,43000,USD
Romania,43000,EUR
Qatar,300000,USD
Puerto Rico,167500,USD
Portugal,43560,EUR
Portugal,75666,USD
Poland,138500,USD
Poland,82500,EUR
Poland,164666,PLN
Philippines,55720,USD
Pakistan,30000,USD
Oman,46848,USD
Nigeria,60444,USD
New Zealand,152218,USD
New Zealand,200000,NZD
Netherlands,75000,USD
Netherlands,70511,EUR
"Moldova, Republic of",18000,USD
Mexico,87007,USD
Mauritius,100000,USD
Malta,24000,EUR
Malta,61450,USD
Malaysia,40000,USD
Luxembourg,52500,EUR
Luxembourg,21000,USD
Lithuania,62640,EUR
Lebanon,71750,USD
Latvia,49920,EUR
"Korea, Republic of",47000,USD
Kenya,65000,USD
Japan,165500,USD
Italy,45657,EUR
Israel,115000,USD
Israel,160000,SGD
Ireland,91750,EUR
Ireland,116250,USD
Iraq,100000,USD
"Iran, Islamic Republic of",100000,USD
Indonesia,15000,USD
India,74716,USD
India,78000,PLN
Hungary,43000,USD
Hungary,57000,EUR
Honduras,20000,USD
Greece,51461,EUR
Greece,20000,USD
Gibraltar,65000,GBP
Ghana,27000,USD
Germany,140750,USD
Germany,74131,EUR
France,129666,USD
France,60199,EUR
Finland,100000,AUD
Finland,100000,SGD
Finland,65000,EUR
Estonia,42116,EUR
Egypt,140869,USD
Ecuador,16000,USD
Denmark,67500,EUR
Denmark,200000,DKK
Czechia,69999,USD
Czechia,64500,EUR
Croatia,75000,GBP
Croatia,40000,EUR
Colombia,79115,USD
China,100000,USD
Central African Republic,40000,GBP
Canada,144083,CAD
Canada,60000,GBP
Canada,151218,USD
Canada,50000,EUR
Brazil,134700,BRL
Brazil,67000,USD
Bosnia and Herzegovina,75000,USD
Belgium,68625,EUR
Bahamas,45555,USD
Austria,50000,USD
Austria,63555,EUR
Australia,150681,USD
Australia,36276,GBP
Australia,114818,AUD
Armenia,50000,USD
Argentina,69571,USD
Andorra,47000,EUR
American Samoa,38500,USD
Algeria,100000,USD
