Domain,Position,Average Salary
BI and Visualization,Business Intelligence,$149104.00
BI and Visualization,Business Intelligence Specialist,$144153.00
BI and Visualization,Business Intelligence Lead,$143525.00
BI and Visualization,Business Intelligence Manager,$143521.00
BI and Visualization,Business Intelligence Engineer,$141942.00
BI and Visualization,Data Visualization Engineer,$122975.00
BI and Visualization,BI Analyst,$120412.00
BI and Visualization,Data Visualization Analyst,$120000.00
BI and Visualization,Data Visualization Specialist,$117725.00
BI and Visualization,Business Intelligence Analyst,$111192.00
BI and Visualization,BI Developer,$108888.00
BI and Visualization,Business Intelligence Developer,$100395.00
BI and Visualization,Power BI Developer,$64781.00
Cloud and Database,Cloud Database Engineer,$142818.00
Data Analysis,Marketing Data Analyst,$144327.00
Data Analysis,Finance Data Analyst,$141933.00
Data Analysis,Principal Data Analyst,$122500.00
Data Analysis,Lead Data Analyst,$108333.00
Data Analysis,Data Analyst,$107934.00
Data Analysis,Data Analytics Associate,$91000.00
Data Analysis,Financial Data Analyst,$90375.00
Data Analysis,Business Intelligence Data Analyst,$83209.00
Data Analysis,Product Data Analyst,$80040.00
Data Analysis,Staff Data Analyst,$79917.00
Data Analysis,Business Data Analyst,$79410.00
Data Analysis,Data Analyst Lead,$71500.00
Data Analysis,BI Data Analyst,$70815.00
Data Analysis,Data Reporting Analyst,$70250.00
Data Analysis,Sales Data Analyst,$60000.00
Data Analysis,Admin & Data Analyst,$48055.00
Data Analysis,Insight Analyst,$46459.00
Data Analysis,Compliance Data Analyst,$45000.00
Data Architecture and Modeling,AWS Data Architect,$258000.00
Data Architecture and Modeling,Cloud Data Architect,$250000.00
Data Architecture and Modeling,Data Architect,$163007.00
Data Architecture and Modeling,Data Modeler,$130519.00
Data Architecture and Modeling,Big Data Architect,$126751.00
Data Architecture and Modeling,Data Strategist,$102400.00
Data Architecture and Modeling,Data Modeller,$83052.00
Data Engineering,Data Infrastructure Engineer,$207332.00
Data Engineering,Data Pipeline Engineer,$172500.00
Data Engineering,Principal Data Engineer,$158924.00
Data Engineering,Data Engineer,$147170.00
Data Engineering,Data Integration Developer,$140580.00
Data Engineering,Lead Data Engineer,$139230.00
Data Engineering,Cloud Data Engineer,$131617.00
Data Engineering,Data Integration Engineer,$125465.00
Data Engineering,ETL Developer,$122126.00
Data Engineering,Consultant Data Engineer,$118539.00
Data Engineering,Software Data Engineer,$111627.00
Data Engineering,Azure Data Engineer,$100000.00
Data Engineering,ETL Engineer,$98190.00
Data Engineering,Big Data Engineer,$80951.00
Data Engineering,Marketing Data Engineer,$66970.00
Data Engineering,Data DevOps Engineer,$65638.00
Data Engineering,BI Data Engineer,$60000.00
Data Management and Strategy,Data Strategy Manager,$138750.00
Data Management and Strategy,Data Management Specialist,$111346.00
Data Management and Strategy,Data Management Consultant,$92500.00
Data Management and Strategy,Data Management Analyst,$91747.00
Data Management and Strategy,Data Specialist,$90392.00
Data Management and Strategy,Data Integration Specialist,$87815.00
Data Quality and Operations,Data Operations Manager,$136000.00
Data Quality and Operations,Data Operations Engineer,$133431.00
Data Quality and Operations,Data Quality Engineer,$100350.00
Data Quality and Operations,Data Operations Analyst,$90905.00
Data Quality and Operations,Data Operations Specialist,$87634.00
Data Quality and Operations,Data Quality Analyst,$83502.00
Data Quality and Operations,Data Operations Associate,$61399.00
Data Quality and Operations,Data Quality Manager,$59059.00
Data Science and Research,Data Science Tech Lead,$375000.00
Data Science and Research,Managing Director Data Science,$280000.00
Data Science and Research,Director of Data Science,$218775.00
Data Science and Research,Data Science Manager,$197123.00
Data Science and Research,Principal Data Scientist,$194089.00
Data Science and Research,Applied Scientist,$190533.00
Data Science and Research,Computational Biologist,$190384.00
Data Science and Research,Research Scientist,$189684.00
Data Science and Research,Head of Data Science,$189076.00
Data Science and Research,Research Engineer,$185831.00
Data Science and Research,Data Science Director,$177416.00
Data Science and Research,Data Science Lead,$167585.00
Data Science and Research,Decision Scientist,$166094.00
Data Science and Research,Data Science,$162734.00
Data Science and Research,Data Scientist,$154357.00
Data Science and Research,Data Science Engineer,$139481.00
Data Science and Research,Data Science Practitioner,$138421.00
Data Science and Research,Data Scientist Lead,$136153.00
Data Science and Research,Staff Data Scientist,$134500.00
Data Science and Research,AI Research Scientist,$119444.00
Data Science and Research,Lead Data Scientist,$119210.00
Data Science and Research,Research Analyst,$112927.00
Data Science and Research,Data Science Consultant,$106879.00
Data Science and Research,Applied Data Scientist,$103365.00
Data Science and Research,AI Research Engineer,$92736.00
Data Science and Research,Marketing Data Scientist,$90000.00
Data Science and Research,Data Science Analyst,$67000.00
Data Science and Research,Machine Learning Research Engineer,$66157.00
Data Science and Research,Quantitative Research Analyst,$51000.00
Leadership and Management,Analytics Engineering Manager,$399880.00
Leadership and Management,Data Analytics Lead,$208873.00
Leadership and Management,Head of Data,$208790.00
Leadership and Management,Data Product Manager,$159529.00
Leadership and Management,Data Lead,$156981.00
Leadership and Management,Analytics Engineer,$152778.00
Leadership and Management,Data Analytics Manager,$137128.00
Leadership and Management,Manager Data Management,$125000.00
Leadership and Management,Big Data Developer,$117000.00
Leadership and Management,Data Manager,$106626.00
Leadership and Management,Data Developer,$96309.00
Leadership and Management,Data Analytics Specialist,$94914.00
Leadership and Management,Data Analytics Consultant,$86690.00
Leadership and Management,Data Product Owner,$80115.00
Leadership and Management,Data Analytics Engineer,$78839.00
Machine Learning and AI,Head of Machine Learning,$337000.00
Machine Learning and AI,AI Architect,$229721.00
Machine Learning and AI,Machine Learning Software Engineer,$212907.00
Machine Learning and AI,ML Engineer,$197927.00
Machine Learning and AI,Robotics Software Engineer,$196625.00
Machine Learning and AI,Deep Learning Engineer,$190807.00
Machine Learning and AI,Machine Learning Engineer,$186972.00
Machine Learning and AI,Staff Machine Learning Engineer,$185000.00
Machine Learning and AI,Prompt Engineer,$177937.00
Machine Learning and AI,Computer Vision Engineer,$177734.00
Machine Learning and AI,Machine Learning Scientist,$174195.00
Machine Learning and AI,AI Software Engineer,$174100.00
Machine Learning and AI,Machine Learning Modeler,$173350.00
Machine Learning and AI,AI Engineer,$164044.00
Machine Learning and AI,Machine Learning Infrastructure Engineer,$162711.00
Machine Learning and AI,ML Ops Engineer,$156400.00
Machine Learning and AI,Machine Learning Researcher,$149644.00
Machine Learning and AI,Machine Learning Manager,$149166.00
Machine Learning and AI,AI Product Manager,$141766.00
Machine Learning and AI,Applied Machine Learning Engineer,$141726.00
Machine Learning and AI,MLOps Engineer,$141561.00
Machine Learning and AI,NLP Engineer,$136942.00
Machine Learning and AI,AI Developer,$135466.00
Machine Learning and AI,Principal Machine Learning Engineer,$129430.00
Machine Learning and AI,Machine Learning Operations Engineer,$128000.00
Machine Learning and AI,Deep Learning Researcher,$124163.00
Machine Learning and AI,Robotics Engineer,$118750.00
Machine Learning and AI,Applied Machine Learning Scientist,$115073.00
Machine Learning and AI,AI Scientist,$111722.00
Machine Learning and AI,Lead Machine Learning Engineer,$86543.00
Machine Learning and AI,Autonomous Vehicle Technician,$82777.00
Machine Learning and AI,Computer Vision Software Engineer,$77760.00
Machine Learning and AI,Machine Learning Developer,$72703.00
Machine Learning and AI,AI Programmer,$62347.00
Machine Learning and AI,Machine Learning Specialist,$55000.00
