AREA_NAME,MONTH,AVERAGE_CRIMES
77TH STREET,1,931
77TH STREET,2,884
77TH STREET,3,1099
77TH STREET,4,1111
77TH STREET,5,1048
77TH STREET,6,1005
77TH STREET,7,1037
77TH STREET,8,1034
77TH STREET,9,985
77TH STREET,10,1014
77TH STREET,11,940
77TH STREET,12,906
CENTRAL,1,1070
CENTRAL,2,976
CENTRAL,3,1115
CENTRAL,4,1049
CENTRAL,5,1112
CENTRAL,6,1119
CENTRAL,7,1213
CENTRAL,8,1254
CENTRAL,9,1139
CENTRAL,10,1195
CENTRAL,11,1143
CENTRAL,12,1146
DEVONSHIRE,1,660
DEVONSHIRE,2,615
DEVONSHIRE,3,743
DEVONSHIRE,4,698
DEVONSHIRE,5,685
DEVONSHIRE,6,679
DEVONSHIRE,7,681
DEVONSHIRE,8,687
DEVONSHIRE,9,650
DEVONSHIRE,10,688
DEVONSHIRE,11,655
DEVONSHIRE,12,661
FOOTHILL,1,502
FOOTHILL,2,483
FOOTHILL,3,579
FOOTHILL,4,595
FOOTHILL,5,560
FOOTHILL,6,556
FOOTHILL,7,552
FOOTHILL,8,522
FOOTHILL,9,517
FOOTHILL,10,528
FOOTHILL,11,523
FOOTHILL,12,518
HARBOR,1,651
HARBOR,2,576
HARBOR,3,742
HARBOR,4,717
HARBOR,5,675
HARBOR,6,656
HARBOR,7,725
HARBOR,8,660
HARBOR,9,666
HARBOR,10,694
HARBOR,11,614
HARBOR,12,671
HOLLENBECK,1,577
HOLLENBECK,2,530
HOLLENBECK,3,631
HOLLENBECK,4,578
HOLLENBECK,5,613
HOLLENBECK,6,589
HOLLENBECK,7,635
HOLLENBECK,8,632
HOLLENBECK,9,604
HOLLENBECK,10,648
HOLLENBECK,11,560
HOLLENBECK,12,603
HOLLYWOOD,1,929
HOLLYWOOD,2,914
HOLLYWOOD,3,938
HOLLYWOOD,4,836
HOLLYWOOD,5,839
HOLLYWOOD,6,854
HOLLYWOOD,7,892
HOLLYWOOD,8,913
HOLLYWOOD,9,864
HOLLYWOOD,10,920
HOLLYWOOD,11,820
HOLLYWOOD,12,771
MISSION,1,650
MISSION,2,593
MISSION,3,714
MISSION,4,678
MISSION,5,660
MISSION,6,624
MISSION,7,666
MISSION,8,676
MISSION,9,641
MISSION,10,651
MISSION,11,655
MISSION,12,620
N HOLLYWOOD,1,789
N HOLLYWOOD,2,721
N HOLLYWOOD,3,922
N HOLLYWOOD,4,889
N HOLLYWOOD,5,872
N HOLLYWOOD,6,831
N HOLLYWOOD,7,821
N HOLLYWOOD,8,839
N HOLLYWOOD,9,785
N HOLLYWOOD,10,853
N HOLLYWOOD,11,802
N HOLLYWOOD,12,802
NEWTON,1,730
NEWTON,2,725
NEWTON,3,787
NEWTON,4,755
NEWTON,5,812
NEWTON,6,868
NEWTON,7,889
NEWTON,8,853
NEWTON,9,846
NEWTON,10,817
NEWTON,11,754
NEWTON,12,714
NORTHEAST,1,692
NORTHEAST,2,616
NORTHEAST,3,732
NORTHEAST,4,707
NORTHEAST,5,705
NORTHEAST,6,690
NORTHEAST,7,723
NORTHEAST,8,713
NORTHEAST,9,696
NORTHEAST,10,734
NORTHEAST,11,663
NORTHEAST,12,664
OLYMPIC,1,942
OLYMPIC,2,722
OLYMPIC,3,906
OLYMPIC,4,816
OLYMPIC,5,801
OLYMPIC,6,807
OLYMPIC,7,809
OLYMPIC,8,836
OLYMPIC,9,818
OLYMPIC,10,860
OLYMPIC,11,772
OLYMPIC,12,787
PACIFIC,1,871
PACIFIC,2,822
PACIFIC,3,1058
PACIFIC,4,982
PACIFIC,5,981
PACIFIC,6,962
PACIFIC,7,1031
PACIFIC,8,1029
PACIFIC,9,981
PACIFIC,10,1001
PACIFIC,11,930
PACIFIC,12,922
RAMPART,1,738
RAMPART,2,796
RAMPART,3,789
RAMPART,4,745
RAMPART,5,778
RAMPART,6,764
RAMPART,7,784
RAMPART,8,749
RAMPART,9,800
