LAT_1KM_GRP,LON_1KM_GRP,AREA_NAME,TOTAL_EVENTS
34.05,-118.25,CENTRAL,13046
34.05,-118.26,CENTRAL,11214
34.1,-118.33,HOLLYWOOD,8010
34.04,-118.25,CENTRAL,7883
34.04,-118.26,CENTRAL,7553
34.06,-118.27,RAMPART,6907
34.1,-118.34,HOLLYWOOD,6897
34.06,-118.24,CENTRAL,5961
34.05,-118.24,CENTRAL,5855
34.06,-118.3,OLYMPIC,5699
34.07,-118.29,OLYMPIC,5430
34.06,-118.28,RAMPART,5429
34.06,-118.29,OLYMPIC,4888
34.1,-118.32,HOLLYWOOD,4758
34.1,-118.31,HOLLYWOOD,4528
34.07,-118.3,OLYMPIC,4352
34.06,-118.31,OLYMPIC,4268
34.05,-118.27,RAMPART,4073
33.97,-118.28,77TH STREET,3995
34.04,-118.24,CENTRAL,3932
34.05,-118.28,RAMPART,3810
34.05,-118.29,OLYMPIC,3710
34.04,-118.27,CENTRAL,3667
33.95,-118.27,SOUTHEAST,3662
33.99,-118.29,77TH STREET,3657
34.17,-118.38,N HOLLYWOOD,3575
34.1,-118.35,HOLLYWOOD,3548
34.06,-118.26,RAMPART,3541
34.04,-118.46,WEST LA,3537
34.16,-118.37,N HOLLYWOOD,3514
34.03,-118.28,SOUTHWEST,3487
34.05,-118.31,OLYMPIC,3467
34.02,-118.35,SOUTHWEST,3449
33.97,-118.27,77TH STREET,3378
34.01,-118.29,SOUTHWEST,3364
33.97,-118.29,77TH STREET,3269
34.07,-118.36,WILSHIRE,3255
34.03,-118.29,SOUTHWEST,3203
34.09,-118.31,HOLLYWOOD,3183
34.07,-118.31,OLYMPIC,3177
33.99,-118.47,PACIFIC,3144
33.74,-118.29,HARBOR,3127
34.0,-118.27,NEWTON,2999
33.93,-118.27,SOUTHEAST,2988
33.94,-118.27,SOUTHEAST,2968
34.09,-118.33,HOLLYWOOD,2931
34.01,-118.31,SOUTHWEST,2907
34.07,-118.27,RAMPART,2851
33.95,-118.4,PACIFIC,2840
34.07,-118.35,WILSHIRE,2813
33.98,-118.33,77TH STREET,2767
34.24,-118.56,DEVONSHIRE,2738
34.02,-118.3,SOUTHWEST,2734
34.19,-118.61,TOPANGA,2686
33.98,-118.29,77TH STREET,2682
34.02,-118.26,NEWTON,2682
33.94,-118.28,SOUTHEAST,2675
33.95,-118.28,SOUTHEAST,2657
34.19,-118.6,TOPANGA,2635
34.07,-118.28,RAMPART,2623
33.99,-118.31,77TH STREET,2597
34.04,-118.21,HOLLENBECK,2592
34.02,-118.29,SOUTHWEST,2577
34.05,-118.3,OLYMPIC,2574
34.03,-118.27,NEWTON,2552
34.01,-118.34,SOUTHWEST,2547
33.99,-118.3,77TH STREET,2523
34.1,-118.29,NORTHEAST,2466
34.05,-118.26,RAMPART,2456
33.99,-118.27,NEWTON,2436
34.08,-118.28,RAMPART,2430
34.06,-118.25,CENTRAL,2411
34.06,-118.42,WEST LA,2408
34.01,-118.27,NEWTON,2406
34.05,-118.34,WILSHIRE,2387
34.03,-118.25,NEWTON,2387
34.22,-118.45,MISSION,2367
33.73,-118.29,HARBOR,2346
33.95,-118.39,PACIFIC,2328
34.08,-118.36,WILSHIRE,2298
34.09,-118.32,HOLLYWOOD,2262
33.98,-118.27,NEWTON,2258
34.03,-118.3,SOUTHWEST,2249
34.06,-118.44,WEST LA,2227
34.02,-118.27,NEWTON,2220
34.08,-118.37,WILSHIRE,2206
34.01,-118.26,NEWTON,2175
34.01,-118.3,SOUTHWEST,2167
