AREA_NAME,CRM_CD_DESC,COUNT,RANK
77TH STREET,VEHICLE - STOLEN,8768,1
CENTRAL,BURGLARY FROM VEHICLE,9695,1
DEVONSHIRE,VEHICLE - STOLEN,3959,1
FOOTHILL,VEHICLE - STOLEN,4541,1
HARBOR,VEHICLE - STOLEN,6144,1
HOLLENBECK,VEHICLE - STOLEN,6213,1
HOLLYWOOD,BATTERY - SIMPLE ASSAULT,4482,1
MISSION,VEHICLE - STOLEN,6050,1
N HOLLYWOOD,VEHICLE - STOLEN,5106,1
NEWTON,VEHICLE - STOLEN,8281,1
NORTHEAST,VEHICLE - STOLEN,5348,1
OLYMPIC,VEHICLE - STOLEN,5731,1
PACIFIC,VEHICLE - STOLEN,6527,1
RAMPART,VEHICLE - STOLEN,5441,1
SOUTHEAST,VEHICLE - STOLEN,7242,1
SOUTHWEST,VEHICLE - STOLEN,6678,1
TOPANGA,VEHICLE - STOLEN,3457,1
VAN NUYS,VEHICLE - STOLEN,4683,1
WEST LA,BURGLARY,4378,1
WEST VALLEY,VEHICLE - STOLEN,4300,1
WILSHIRE,VEHICLE - STOLEN,4221,1
