YEAR,MONTH,COUNT,TREND_MM2MM,TREND_RUNNING
2020,1,16060,0,0
2020,2,16490,430,430
2020,3,15539,-951,-521
2020,4,15179,-360,-881
2020,5,16331,1152,271
2020,6,16955,624,895
2020,7,16907,-48,847
2020,8,16605,-302,545
2020,9,15636,-969,-424
2020,10,16142,506,82
2020,11,15342,-800,-718
2020,12,15522,180,-538
2021,1,16155,633,95
2021,2,15411,-744,-649
2021,3,16307,896,247
2021,4,16015,-292,-45
2021,5,16784,769,724
2021,6,17125,341,1065
2021,7,18741,1616,2681
2021,8,18285,-456,2225
2021,9,18258,-27,2198
2021,10,18952,694,2892
2021,11,18485,-467,2425
2021,12,17767,-718,1707
2022,1,18399,632,2339
2022,2,17709,-690,1649
2022,3,19802,2093,3742
2022,4,19768,-34,3708
2022,5,20597,829,4537
2022,6,20263,-334,4203
2022,7,19754,-509,3694
2022,8,20438,684,4378
2022,9,19362,-1076,3302
2022,10,20112,750,4052
2022,11,18772,-1340,2712
2022,12,20090,1318,4030
2023,1,20122,32,4062
2023,2,18780,-1342,2720
2023,3,19379,599,3319
2023,4,19023,-356,2963
2023,5,19402,379,3342
2023,6,18927,-475,2867
2023,7,20039,1112,3979
2023,8,20248,209,4188
2023,9,19385,-863,3325
2023,10,20239,854,4179
2023,11,19436,-803,3376
2023,12,19658,222,3598
2024,1,19898,240,3838
2024,2,17921,-1977,1861
2024,3,17073,-848,1013
2024,4,13691,-3382,-2369
2024,5,9912,-3779,-6148
2024,6,8264,-1648,-7796
2024,7,8302,38,-7758
2024,8,8595,293,-7465
2024,9,8664,69,-7396
2024,10,8300,-364,-7760
2024,11,7619,-681,-8441
2024,12,5872,-1747,-10188
2025,1,137,-5735,-15923
2025,2,157,20,-15903
2025,3,2,-155,-16058
