TOTAL,YEAR,MONTH
18576,2020,1
17284,2020,2
16188,2020,3
15706,2020,4
17230,2020,5
17060,2020,6
17158,2020,7
16902,2020,8
15657,2020,9
16510,2020,10
15596,2020,11
15979,2020,12
16635,2021,1
15439,2021,2
16354,2021,3
16091,2021,4
17020,2021,5
17182,2021,6
18690,2021,7
18398,2021,8
18386,2021,9
19341,2021,10
18374,2021,11
17962,2021,12
18567,2022,1
17750,2022,2
19745,2022,3
19836,2022,4
20467,2022,5
20272,2022,6
20009,2022,7
20144,2022,8
19341,2022,9
20335,2022,10
18754,2022,11
20036,2022,12
19972,2023,1
18489,2023,2
19213,2023,3
18936,2023,4
18909,2023,5
18743,2023,6
19934,2023,7
20082,2023,8
19320,2023,9
20122,2023,10
19074,2023,11
19551,2023,12
18926,2024,1
17395,2024,2
16294,2024,3
12947,2024,4
9387,2024,5
8127,2024,6
8169,2024,7
8324,2024,8
8310,2024,9
7819,2024,10
7177,2024,11
4690,2024,12
96,2025,1
123,2025,2
1,2025,3
