Location Pin,# Orders,Rank
"560009                                            ",36,1
"560038                                            ",16,2
"560010                                            ",14,3
"560076                                            ",12,4
"560095                                            ",11,5
"560034                                            ",11,5
"560036                                            ",9,6
"560075                                            ",9,6
"560029                                            ",8,7
"560024                                            ",8,7
"560001                                            ",8,7
"560080                                            ",8,7
"560043                                            ",8,7
"560066                                            ",8,7
"560096                                            ",7,8
"560003                                            ",7,8
"560011                                            ",7,8
"560015                                            ",7,8
"560018                                            ",7,8
"560005                                            ",6,9
"560008                                            ",6,9
"560002                                            ",6,9
"560027                                            ",6,9
"560017                                            ",6,9
"560021                                            ",6,9
"560041                                            ",6,9
"560085                                            ",6,9
"560078                                            ",5,10
"560092                                            ",5,10
"560023                                            ",5,10
"560042                                            ",5,10
"560030                                            ",5,10
"560020                                            ",5,10
"560004                                            ",5,10
"560006                                            ",5,10
"560103                                            ",5,10
"560007                                            ",4,11
"560014                                            ",4,11
"560012                                            ",4,11
"560067                                            ",4,11
"560068                                            ",4,11
"560070                                            ",4,11
"560046                                            ",4,11
"560048                                            ",4,11
"560093                                            ",4,11
"560100                                            ",4,11
"560061                                            ",3,12
"560016                                            ",3,12
"560022                                            ",3,12
"560025                                            ",3,12
"560028                                            ",2,13
"560032                                            ",2,13
"560019                                            ",2,13
"560013                                            ",2,13
"560062                                            ",2,13
"560064                                            ",2,13
"560086                                            ",2,13
"560091                                            ",2,13
"560102                                            ",2,13
"560097                                            ",2,13
"560049                                            ",2,13
"560045                                            ",2,13
"560060                                            ",2,13
"560055                                            ",2,13
"560056                                            ",2,13
"560059                                            ",1,14
"560072                                            ",1,14
"560073                                            ",1,14
"560047                                            ",1,14
"560050                                            ",1,14
"560051                                            ",1,14
"560098                                            ",1,14
"560079                                            ",1,14
"560033                                            ",1,14
"560026                                            ",1,14
"560104                                            ",1,14
"560109                                            ",1,14
