Location Pin,# Orders,Feedback Type,# Occurrences,Rank
"560009                                            ",32,Positive,32,1
"560038                                            ",14,Positive,14,2
"560010                                            ",13,Positive,13,3
"560076                                            ",12,Positive,12,4
"560095                                            ",11,Positive,11,5
"560036                                            ",9,Positive,9,6
"560066                                            ",8,Positive,8,7
"560043                                            ",8,Positive,8,7
"560001                                            ",8,Positive,8,7
"560029                                            ",8,Positive,8,7
"560034                                            ",7,Positive,7,8
"560024                                            ",7,Positive,7,8
"560027                                            ",6,Positive,6,9
"560003                                            ",6,Positive,6,9
"560011                                            ",6,Positive,6,9
"560096                                            ",6,Positive,6,9
"560075                                            ",6,Positive,6,9
"560085                                            ",6,Positive,6,9
"560080                                            ",5,Positive,5,10
"560103                                            ",5,Positive,5,10
"560042                                            ",5,Positive,5,10
"560015                                            ",5,Positive,5,10
"560004                                            ",5,Positive,5,10
"560021                                            ",5,Positive,5,10
"560030                                            ",5,Positive,5,10
"560014                                            ",4,Positive,4,11
"560020                                            ",4,Positive,4,11
"560005                                            ",4,Positive,4,11
"560002                                            ",4,Positive,4,11
"560007                                            ",4,Positive,4,11
"560048                                            ",4,Positive,4,11
"560100                                            ",4,Positive,4,11
"560078                                            ",4,Positive,4,11
"560070                                            ",4,Positive,4,11
"560067                                            ",3,Positive,3,12
"560068                                            ",3,Positive,3,12
"560061                                            ",3,Positive,3,12
"560006                                            ",3,Positive,3,12
"560016                                            ",3,Positive,3,12
"560017                                            ",3,Positive,3,12
"560018                                            ",3,Positive,3,12
"560012                                            ",3,Positive,3,12
"560023                                            ",3,Positive,3,12
"560041                                            ",3,Positive,3,12
"560022                                            ",2,Positive,2,13
"560028                                            ",2,Positive,2,13
"560025                                            ",2,Positive,2,13
"560019                                            ",2,Positive,2,13
"560062                                            ",2,Positive,2,13
"560064                                            ",2,Positive,2,13
"560055                                            ",2,Positive,2,13
"560056                                            ",2,Positive,2,13
"560060                                            ",2,Positive,2,13
"560049                                            ",2,Positive,2,13
"560045                                            ",2,Positive,2,13
"560046                                            ",2,Positive,2,13
"560086                                            ",2,Positive,2,13
"560102                                            ",2,Positive,2,13
"560093                                            ",2,Positive,2,13
"560104                                            ",1,Positive,1,14
"560098                                            ",1,Positive,1,14
"560092                                            ",1,Positive,1,14
"560073                                            ",1,Positive,1,14
"560079                                            ",1,Positive,1,14
"560047                                            ",1,Positive,1,14
"560050                                            ",1,Positive,1,14
"560051                                            ",1,Positive,1,14
"560013                                            ",1,Positive,1,14
"560008                                            ",1,Positive,1,14
"560026                                            ",1,Positive,1,14
"560032                                            ",1,Positive,1,14
"560033                                            ",1,Positive,1,14
