Position,Experience,Salary,Currency
AI Architect,Executive,215936,USD
AI Engineer,Executive,225000,USD
AI Engineer,Executive,200070,USD
AI Engineer,Executive,150000,USD
AI Engineer,Executive,107730,USD
AI Scientist,Executive,200000,USD
Analytics Engineer,Executive,250000,USD
Analytics Engineer,Executive,221000,USD
Analytics Engineer,Executive,210000,USD
Analytics Engineer,Executive,210000,USD
Analytics Engineer,Executive,200000,USD
Analytics Engineer,Executive,200000,USD
Analytics Engineer,Executive,175000,USD
Analytics Engineer,Executive,170000,USD
Analytics Engineer,Executive,157000,USD
Analytics Engineer,Executive,153000,USD
Analytics Engineer,Executive,150000,USD
Analytics Engineer,Executive,135000,USD
Applied Machine Learning Engineer,Executive,225000,USD
BI Data Analyst,Executive,150000,USD
BI Developer,Executive,204500,USD
BI Developer,Executive,130000,USD
Business Intelligence,Executive,230000,USD
Business Intelligence,Executive,230000,USD
Business Intelligence,Executive,230000,USD
Business Intelligence,Executive,176900,USD
Business Intelligence,Executive,176900,USD
Business Intelligence,Executive,155000,USD
Business Intelligence,Executive,150000,USD
Business Intelligence,Executive,120000,USD
Business Intelligence Developer,Executive,177500,USD
Business Intelligence Developer,Executive,167500,USD
Business Intelligence Developer,Executive,117500,USD
Business Intelligence Developer,Executive,106500,USD
Business Intelligence Engineer,Executive,247500,USD
Business Intelligence Engineer,Executive,247500,USD
Business Intelligence Engineer,Executive,172200,USD
Business Intelligence Engineer,Executive,172200,USD
Business Intelligence Engineer,Executive,120000,USD
Business Intelligence Engineer,Executive,96000,USD
Data Analyst,Executive,180000,USD
Data Analyst,Executive,175000,USD
Data Analyst,Executive,170000,USD
Data Analyst,Executive,160000,USD
Data Analyst,Executive,160000,USD
Data Analyst,Executive,145000,USD
Data Analyst,Executive,130000,USD
Data Analyst,Executive,125000,USD
Data Analyst,Executive,125000,USD
Data Analyst,Executive,125000,USD
Data Analyst,Executive,120000,USD
Data Analyst,Executive,110000,USD
Data Analyst,Executive,100000,USD
Data Analyst,Executive,90000,USD
Data Analyst,Executive,87500,USD
Data Analyst,Executive,80000,USD
Data Analyst,Executive,70000,USD
Data Analyst,Executive,70000,USD
Data Analyst,Executive,68750,USD
Data Analyst,Executive,68000,USD
Data Analyst,Executive,62500,USD
Data Analyst,Executive,55000,USD
Data Analytics Manager,Executive,155000,USD
Data Analytics Manager,Executive,140000,USD
Data Architect,Executive,210000,USD
Data Architect,Executive,180000,USD
Data Architect,Executive,180000,USD
Data Architect,Executive,155000,USD
Data Engineer,Executive,385000,USD
Data Engineer,Executive,350000,USD
Data Engineer,Executive,334075,USD
Data Engineer,Executive,333500,USD
Data Engineer,Executive,324000,USD
Data Engineer,Executive,314000,USD
Data Engineer,Executive,310000,USD
Data Engineer,Executive,310000,USD
Data Engineer,Executive,310000,USD
Data Engineer,Executive,310000,USD
Data Engineer,Executive,310000,USD
Data Engineer,Executive,310000,USD
Data Engineer,Executive,297500,USD
Data Engineer,Executive,286000,USD
Data Engineer,Executive,284000,USD
Data Engineer,Executive,268500,USD
Data Engineer,Executive,268000,USD
Data Engineer,Executive,265800,USD
Data Engineer,Executive,265000,USD
Data Engineer,Executive,260000,USD
Data Engineer,Executive,257400,USD
Data Engineer,Executive,250000,USD
Data Engineer,Executive,250000,USD
Data Engineer,Executive,242000,USD
Data Engineer,Executive,239000,USD
Data Engineer,Executive,239000,USD
Data Engineer,Executive,239000,USD
Data Engineer,Executive,239000,USD
Data Engineer,Executive,239000,USD
Data Engineer,Executive,239000,USD
Data Engineer,Executive,236000,USD
Data Engineer,Executive,235000,USD
Data Engineer,Executive,235000,USD
Data Engineer,Executive,234000,USD
Data Engineer,Executive,225000,USD
Data Engineer,Executive,225000,USD
Data Engineer,Executive,225000,USD
Data Engineer,Executive,220000,USD
Data Engineer,Executive,220000,USD
Data Engineer,Executive,220000,USD
Data Engineer,Executive,219650,USD
Data Engineer,Executive,219650,USD
Data Engineer,Executive,219650,USD
Data Engineer,Executive,219650,USD
Data Engineer,Executive,216000,USD
Data Engineer,Executive,215000,USD
Data Engineer,Executive,212500,USD
Data Engineer,Executive,210914,USD
Data Engineer,Executive,210914,USD
Data Engineer,Executive,210600,USD
Data Engineer,Executive,210000,USD
Data Engineer,Executive,210000,USD
Data Engineer,Executive,210000,USD
Data Engineer,Executive,209309,USD
Data Engineer,Executive,207000,USD
Data Engineer,Executive,205785,USD
Data Engineer,Executive,205000,USD
Data Engineer,Executive,204500,USD
Data Engineer,Executive,204500,USD
Data Engineer,Executive,204500,USD
Data Engineer,Executive,204500,USD
Data Engineer,Executive,201000,USD
Data Engineer,Executive,200000,USD
Data Engineer,Executive,200000,USD
Data Engineer,Executive,200000,USD
Data Engineer,Executive,200000,USD
Data Engineer,Executive,200000,USD
Data Engineer,Executive,200000,USD
Data Engineer,Executive,196200,USD
Data Engineer,Executive,194500,USD
Data Engineer,Executive,194500,USD
Data Engineer,Executive,194500,USD
Data Engineer,Executive,190000,USD
Data Engineer,Executive,187200,USD
Data Engineer,Executive,185000,USD
Data Engineer,Executive,180500,USD
Data Engineer,Executive,179000,USD
Data Engineer,Executive,179000,USD
Data Engineer,Executive,177200,USD
Data Engineer,Executive,175000,USD
Data Engineer,Executive,175000,USD
Data Engineer,Executive,174500,USD
Data Engineer,Executive,174500,USD
Data Engineer,Executive,174500,USD
Data Engineer,Executive,174500,USD
Data Engineer,Executive,168854,USD
Data Engineer,Executive,168000,USD
Data Engineer,Executive,167954,USD
Data Engineer,Executive,167500,USD
Data Engineer,Executive,163500,USD
Data Engineer,Executive,162500,USD
Data Engineer,Executive,160000,USD
Data Engineer,Executive,160000,USD
Data Engineer,Executive,150900,USD
Data Engineer,Executive,150000,USD
Data Engineer,Executive,146000,USD
Data Engineer,Executive,146000,USD
Data Engineer,Executive,145000,USD
Data Engineer,Executive,145000,USD
Data Engineer,Executive,145000,USD
Data Engineer,Executive,145000,USD
Data Engineer,Executive,136000,USD
Data Engineer,Executive,136000,USD
Data Engineer,Executive,136000,USD
Data Engineer,Executive,136000,USD
Data Engineer,Executive,135344,USD
Data Engineer,Executive,135000,USD
Data Engineer,Executive,130002,USD
Data Engineer,Executive,130000,USD
Data Engineer,Executive,130000,USD
Data Engineer,Executive,130000,USD
Data Engineer,Executive,130000,USD
Data Engineer,Executive,130000,USD
Data Engineer,Executive,130000,USD
Data Engineer,Executive,125000,USD
Data Engineer,Executive,123471,USD
Data Engineer,Executive,116704,USD
Data Engineer,Executive,116704,USD
Data Engineer,Executive,116100,USD
Data Engineer,Executive,115830,USD
Data Engineer,Executive,115500,USD
Data Engineer,Executive,115500,USD
Data Engineer,Executive,115500,USD
Data Engineer,Executive,115000,USD
Data Engineer,Executive,113000,USD
Data Engineer,Executive,113000,USD
Data Engineer,Executive,113000,USD
Data Engineer,Executive,113000,USD
Data Engineer,Executive,112000,USD
Data Engineer,Executive,112000,USD
Data Engineer,Executive,110000,USD
Data Engineer,Executive,110000,USD
Data Engineer,Executive,106500,USD
Data Engineer,Executive,100000,USD
Data Engineer,Executive,98432,USD
Data Engineer,Executive,94000,USD
Data Engineer,Executive,79833,USD
Data Engineer,Executive,71908,USD
Data Lead,Executive,250000,USD
Data Lead,Executive,230000,USD
Data Lead,Executive,230000,USD
Data Lead,Executive,222000,USD
Data Lead,Executive,180000,USD
Data Lead,Executive,180000,USD
Data Manager,Executive,140000,USD
Data Manager,Executive,125976,USD
Data Manager,Executive,100000,USD
Data Manager,Executive,80000,USD
Data Manager,Executive,80000,USD
Data Manager,Executive,80000,USD
Data Manager,Executive,75000,USD
Data Manager,Executive,72000,USD
Data Manager,Executive,70000,USD
Data Manager,Executive,70000,USD
Data Science,Executive,381500,USD
Data Science,Executive,326000,USD
Data Science,Executive,323700,USD
Data Science,Executive,300000,USD
Data Science,Executive,300000,USD
Data Science,Executive,300000,USD
Data Science,Executive,300000,USD
Data Science,Executive,286500,USD
Data Science,Executive,237500,USD
Data Science,Executive,221000,USD
Data Science,Executive,220000,USD
Data Science,Executive,220000,USD
Data Science,Executive,220000,USD
Data Science,Executive,220000,USD
Data Science,Executive,218000,USD
Data Science,Executive,209700,USD
Data Science,Executive,204000,USD
Data Science,Executive,190500,USD
Data Science,Executive,175762,USD
Data Science,Executive,175762,USD
Data Science,Executive,168000,USD
Data Science,Executive,161300,USD
Data Science,Executive,143297,USD
Data Science,Executive,114638,USD
Data Science,Executive,97254,USD
Data Science,Executive,97254,USD
Data Science Consultant,Executive,69741,USD
Data Science Director,Executive,212000,USD
Data Science Director,Executive,212000,USD
Data Science Director,Executive,212000,USD
Data Science Director,Executive,190000,USD
Data Science Director,Executive,190000,USD
Data Science Director,Executive,190000,USD
Data Science Director,Executive,106666,USD
Data Science Director,Executive,106666,USD
Data Science Engineer,Executive,160000,USD
Data Science Engineer,Executive,120000,USD
Data Science Manager,Executive,272400,USD
Data Science Manager,Executive,260500,USD
Data Science Manager,Executive,222640,USD
Data Science Manager,Executive,182160,USD
Data Science Manager,Executive,175100,USD
Data Science Manager,Executive,140100,USD
Data Science Manager,Executive,106000,USD
Data Scientist,Executive,300000,USD
Data Scientist,Executive,299500,USD
Data Scientist,Executive,258750,USD
Data Scientist,Executive,258750,USD
Data Scientist,Executive,250000,USD
Data Scientist,Executive,249600,USD
Data Scientist,Executive,246100,USD
Data Scientist,Executive,228856,USD
Data Scientist,Executive,228856,USD
Data Scientist,Executive,225000,USD
Data Scientist,Executive,220000,USD
Data Scientist,Executive,220000,USD
Data Scientist,Executive,200000,USD
Data Scientist,Executive,200000,USD
Data Scientist,Executive,200000,USD
Data Scientist,Executive,185000,USD
Data Scientist,Executive,185000,USD
Data Scientist,Executive,185000,USD
Data Scientist,Executive,181900,USD
Data Scientist,Executive,180000,USD
Data Scientist,Executive,180000,USD
Data Scientist,Executive,160000,USD
Data Scientist,Executive,159000,USD
Data Scientist,Executive,145000,USD
Data Scientist,Executive,145000,USD
Data Scientist,Executive,145000,USD
Data Scientist,Executive,145000,USD
Data Scientist,Executive,144540,USD
Data Scientist,Executive,144540,USD
Data Scientist,Executive,130000,USD
Data Scientist,Executive,126500,USD
Data Scientist,Executive,125000,USD
Data Scientist,Executive,120000,USD
Data Scientist,Executive,100000,USD
Data Scientist,Executive,100000,USD
Data Scientist,Executive,78000,USD
Director of Data Science,Executive,375500,USD
Director of Data Science,Executive,353200,USD
Director of Data Science,Executive,353200,USD
Director of Data Science,Executive,336400,USD
Director of Data Science,Executive,325000,USD
Director of Data Science,Executive,260000,USD
Director of Data Science,Executive,250300,USD
Director of Data Science,Executive,250000,USD
Director of Data Science,Executive,249300,USD
Director of Data Science,Executive,249300,USD
Director of Data Science,Executive,247000,USD
Director of Data Science,Executive,246080,USD
Director of Data Science,Executive,246080,USD
Director of Data Science,Executive,237500,USD
Director of Data Science,Executive,225000,USD
Director of Data Science,Executive,225000,USD
Director of Data Science,Executive,203016,USD
Director of Data Science,Executive,201900,USD
Director of Data Science,Executive,192037,USD
Director of Data Science,Executive,192000,USD
Director of Data Science,Executive,184560,USD
Director of Data Science,Executive,180000,USD
Director of Data Science,Executive,175000,USD
Director of Data Science,Executive,157500,USD
Director of Data Science,Executive,153667,USD
Director of Data Science,Executive,141846,USD
Director of Data Science,Executive,130026,USD
Director of Data Science,Executive,118440,USD
ETL Engineer,Executive,150000,USD
Head of Data,Executive,329500,USD
Head of Data,Executive,329500,USD
Head of Data,Executive,329500,USD
Head of Data,Executive,329500,USD
Head of Data,Executive,290000,USD
Head of Data,Executive,290000,USD
Head of Data,Executive,270000,USD
Head of Data,Executive,269600,USD
Head of Data,Executive,269600,USD
Head of Data,Executive,269600,USD
Head of Data,Executive,269600,USD
Head of Data,Executive,263000,USD
Head of Data,Executive,250000,USD
Head of Data,Executive,247500,USD
Head of Data,Executive,247500,USD
Head of Data,Executive,247000,USD
Head of Data,Executive,246080,USD
Head of Data,Executive,243000,USD
Head of Data,Executive,236000,USD
Head of Data,Executive,235000,USD
Head of Data,Executive,230000,USD
Head of Data,Executive,215000,USD
Head of Data,Executive,207000,USD
Head of Data,Executive,205000,USD
Head of Data,Executive,204500,USD
Head of Data,Executive,200000,USD
Head of Data,Executive,195000,USD
Head of Data,Executive,184560,USD
Head of Data,Executive,182000,USD
Head of Data,Executive,172200,USD
Head of Data,Executive,172200,USD
Head of Data,Executive,163000,USD
Head of Data,Executive,160000,USD
Head of Data,Executive,150000,USD
Head of Data,Executive,142200,USD
Head of Data,Executive,135344,USD
Head of Data,Executive,115000,USD
Head of Data,Executive,110736,USD
Head of Data,Executive,110736,USD
Head of Data,Executive,110000,USD
Head of Data,Executive,92280,USD
Head of Data Science,Executive,330000,USD
Head of Data Science,Executive,314100,USD
Head of Data Science,Executive,230000,USD
Head of Data Science,Executive,224000,USD
Head of Data Science,Executive,195800,USD
Head of Data Science,Executive,167875,USD
Head of Data Science,Executive,162288,USD
Head of Data Science,Executive,131721,USD
Head of Data Science,Executive,129058,USD
Head of Data Science,Executive,85000,USD
Head of Machine Learning,Executive,448000,USD
Head of Machine Learning,Executive,438000,USD
Head of Machine Learning,Executive,373000,USD
Head of Machine Learning,Executive,330000,USD
Head of Machine Learning,Executive,245000,USD
Head of Machine Learning,Executive,188000,USD
Lead Data Engineer,Executive,115222,USD
Machine Learning Engineer,Executive,295500,USD
Machine Learning Engineer,Executive,290000,USD
Machine Learning Engineer,Executive,265000,USD
Machine Learning Engineer,Executive,232000,USD
Machine Learning Engineer,Executive,209700,USD
Machine Learning Engineer,Executive,203800,USD
Machine Learning Engineer,Executive,200000,USD
Machine Learning Engineer,Executive,180000,USD
Machine Learning Engineer,Executive,165200,USD
Machine Learning Engineer,Executive,161300,USD
Machine Learning Engineer,Executive,160000,USD
Machine Learning Engineer,Executive,145000,USD
Machine Learning Scientist,Executive,200000,USD
Machine Learning Scientist,Executive,180000,USD
Managing Director Data Science,Executive,300000,USD
Managing Director Data Science,Executive,260000,USD
ML Engineer,Executive,238500,USD
ML Engineer,Executive,238500,USD
ML Engineer,Executive,183400,USD
ML Engineer,Executive,183400,USD
NLP Engineer,Executive,200000,USD
NLP Engineer,Executive,150000,USD
Principal Data Scientist,Executive,416000,USD
Research Scientist,Executive,220000,USD
Research Scientist,Executive,185000,USD
Research Scientist,Executive,84053,USD
Staff Data Analyst,Executive,15000,USD
